note_id,object_type,object_id,note_text,is_favorite,created_at
1,galaxy,18,Detected using Transit method — classic case.,1,2024-04-20 09:00:00
2,blackhole,70,Good reference object for comparison studies.,0,2024-11-20 09:30:00
3,blackhole,13,Interesting target for the James Webb telescope.,1,2024-10-01 09:00:00
4,blackhole,5,Short orbital period suggests close proximity.,0,2024-10-20 14:00:00
5,exoplanet,57,First discovered in the early 2000s.,0,2024-01-05 14:00:00
6,blackhole,13,Potentially tidally locked to its host star.,0,2024-09-05 14:00:00
7,galaxy,46,One of my favourite discoveries so far.,1,2024-10-01 09:30:00
8,blackhole,25,Interesting orbital characteristics.,1,2024-01-25 09:30:00
9,exoplanet,85,Could be a candidate for habitability research.,0,2024-03-15 14:30:00
10,exoplanet,43,Notable for its discovery method.,0,2024-03-15 09:00:00
11,galaxy,27,Need to cross-check the mass estimate.,0,2024-08-25 09:30:00
12,galaxy,28,Notable for its discovery method.,0,2024-09-25 09:00:00
13,exoplanet,77,Fascinating object — worth revisiting.,0,2024-08-01 14:00:00
14,exoplanet,17,Mass is larger than initially estimated.,0,2024-02-25 09:00:00
15,exoplanet,15,Potentially tidally locked to its host star.,0,2024-07-05 14:30:00
16,exoplanet,2,Closest known example of this type.,0,2024-09-15 14:00:00
17,galaxy,42,Fascinating object — worth revisiting.,0,2024-03-25 19:30:00
18,blackhole,7,Added to reading list for further study.,1,2024-02-15 14:30:00
19,galaxy,15,Marked as favourite for presentation.,0,2024-04-20 09:30:00
20,blackhole,58,Check updated temperature readings.,0,2024-06-05 14:30:00
21,galaxy,14,First discovered in the early 2000s.,0,2024-07-10 14:30:00
22,galaxy,6,Marked as favourite for presentation.,0,2024-01-10 14:30:00
23,blackhole,4,One of my favourite discoveries so far.,1,2024-07-25 09:00:00
24,blackhole,55,Potentially tidally locked to its host star.,0,2024-08-25 14:30:00
25,blackhole,57,Need to cross-check the mass estimate.,0,2024-09-05 14:30:00
26,blackhole,19,Need to cross-check the mass estimate.,0,2024-02-25 19:00:00
27,blackhole,42,Detected using Transit method — classic case.,0,2024-08-20 19:00:00
28,blackhole,65,Notable for the host star's low metallicity.,1,2024-09-01 14:00:00
29,exoplanet,90,Interesting orbital characteristics.,0,2024-07-10 09:30:00
30,blackhole,58,Notable for its discovery method.,1,2024-02-15 09:30:00
31,blackhole,59,Detected using Transit method — classic case.,1,2024-07-15 19:00:00
32,galaxy,13,Part of a multi-planet system.,1,2024-02-01 19:00:00
33,blackhole,33,Closest known example of this type.,0,2024-06-05 09:30:00
34,galaxy,61,Need to cross-check the mass estimate.,0,2024-12-10 14:30:00
35,exoplanet,12,Good reference object for comparison studies.,0,2024-01-25 19:00:00
36,galaxy,48,Added to reading list for further study.,0,2024-12-20 14:30:00
37,galaxy,72,Mass is larger than initially estimated.,0,2024-07-20 19:00:00
38,galaxy,16,Good reference object for comparison studies.,0,2024-10-25 09:30:00
39,galaxy,55,Marked as favourite for presentation.,0,2024-05-05 19:00:00
40,blackhole,40,Closest known example of this type.,0,2024-09-25 09:30:00
41,galaxy,65,Could be a candidate for habitability research.,0,2024-03-15 19:00:00
42,galaxy,62,Notable for its discovery method.,0,2024-08-10 09:00:00
